genome	C(%)	S(%)	D(%)	F(%)	M(%)	scaffolds	contigs	total_length	scaffold_N50	contig_N50
GCA_037048265.1	99.4	99.1	0.4	0.4	0.2	193	193	5106782	123	123
GCA_037048405.1	99.4	99.1	0.4	0.4	0.2	244	244	5096937	97	97
GCA_037048425.1	99.6	99.3	0.4	0.2	0.2	218	218	5154194	128	128
GCA_037048485.1	99.3	98.9	0.4	0.6	0.2	201	201	5145754	117	117
GCA_037048805.1	99.4	99.3	0.2	0.4	0.2	327	327	5129514	85	85
GCA_037048925.1	99.6	99.4	0.2	0.2	0.2	246	246	4890566	63	63
GCA_037048945.1	99.4	98.9	0.6	0.4	0.2	314	314	5259652	118	118
GCA_037049005.1	99.4	99.3	0.2	0.4	0.2	203	203	4821598	82	82
GCA_037049045.1	99.4	99.1	0.4	0.4	0.2	303	303	5368490	110	110
GCA_037049065.1	99.6	99.3	0.4	0.2	0.2	216	216	5243916	111	111
GCA_037049145.1	99.4	99.1	0.4	0.4	0.2	198	198	5105196	110	110
GCA_037049305.1	99.6	99.3	0.4	0.2	0.2	298	298	5370277	99	99
GCA_037049325.1	99.3	99.1	0.2	0.6	0.2	275	275	4878542	70	70
GCA_037049365.1	99.4	99.3	0.2	0.4	0.2	192	192	4931766	75	75
GCA_037049385.1	99.6	99.4	0.2	0.2	0.2	193	193	4834879	82	82
GCA_037049765.1	99.6	99.3	0.4	0.2	0.2	154	154	5018786	123	123
GCA_037049825.1	99.6	99.4	0.2	0.2	0.2	116	116	5329880	213	213
GCA_040415435.1	99.6	99.4	0.2	0.2	0.2	190	190	5054051	83	83
GCA_040415445.1	99.6	99.4	0.2	0.2	0.2	299	299	5027788	42	42
GCA_040415455.1	99.6	99.4	0.2	0.2	0.2	264	264	5021719	73	73
GCA_040415465.1	99.6	99.4	0.2	0.2	0.2	321	321	5086485	44	44
GCA_040415475.1	99.6	99.4	0.2	0.2	0.2	208	208	5005678	99	99
GCA_040415535.1	99.6	99.4	0.2	0.2	0.2	192	192	5062805	83	83
GCA_040415565.1	99.6	99.4	0.2	0.2	0.2	207	207	5014607	87	87
GCA_040415575.1	99.6	99.4	0.2	0.2	0.2	277	277	4916610	46	46
GCA_040415585.1	99.6	99.4	0.2	0.2	0.2	220	220	5046793	63	63
GCA_040415655.1	99.6	99.4	0.2	0.2	0.2	217	217	4988242	89	89
GCA_040415665.1	99.6	99.4	0.2	0.2	0.2	256	256	5051479	51	51
GCA_040415675.1	99.6	99.4	0.2	0.2	0.2	296	296	5004818	50	50
GCA_040415685.1	99.6	99.4	0.2	0.2	0.2	190	190	5051624	107	107
GCA_040415755.1	99.6	99.4	0.2	0.2	0.2	178	178	4955139	135	135
GCA_040415795.1	99.6	99.4	0.2	0.2	0.2	241	241	5034938	56	56
GCA_040415805.1	99.4	99.3	0.2	0.4	0.2	171	171	5051775	138	138
GCA_040415815.1	99.6	99.4	0.2	0.2	0.2	267	267	4946469	63	63
GCA_040415855.1	99.6	99.4	0.2	0.2	0.2	188	188	5047172	91	91
GCA_040415875.1	99.6	99.4	0.2	0.2	0.2	204	204	5033423	82	82
GCA_040415905.1	99.6	99.3	0.4	0.2	0.2	183	183	5050005	94	94
GCA_040415915.1	99.6	99.4	0.2	0.2	0.2	235	235	4977366	83	83
GCA_040415955.1	99.6	99.4	0.2	0.2	0.2	215	215	5052230	61	61
GCA_040415975.1	99.6	99.4	0.2	0.2	0.2	176	176	5043166	119	119
GCA_040415995.1	99.6	99.4	0.2	0.2	0.2	294	294	5066758	59	59
GCA_040416005.1	99.6	99.3	0.4	0.2	0.2	162	162	5038196	105	105
GCA_040416035.1	99.6	99.3	0.4	0.2	0.2	153	153	5048355	137	137
GCA_040416045.1	99.6	99.4	0.2	0.2	0.2	224	224	5034676	90	90
GCA_040416095.1	99.6	99.4	0.2	0.2	0.2	276	276	5046760	66	66
GCA_040416105.1	99.6	99.4	0.2	0.2	0.2	231	231	5034905	56	56
GCA_040416135.1	99.6	99.4	0.2	0.2	0.2	197	197	5054892	103	103
GCA_040416195.1	99.6	99.4	0.2	0.2	0.2	209	209	5050988	62	62
GCA_040416205.1	99.6	99.4	0.2	0.2	0.2	178	178	4999389	119	119
GCA_040416215.1	99.6	99.4	0.2	0.2	0.2	182	182	5055575	87	87
GCA_040416265.1	99.6	99.4	0.2	0.2	0.2	191	191	5041899	119	119
GCA_040416295.1	99.6	99.4	0.2	0.2	0.2	184	184	5063670	88	88
GCA_040416335.1	99.6	99.4	0.2	0.2	0.2	218	218	5057207	82	82
GCA_040416355.1	99.6	99.4	0.2	0.2	0.2	219	219	5059086	97	97
GCA_040416375.1	99.6	99.4	0.2	0.2	0.2	216	216	5035188	87	87
GCA_040416395.1	99.6	99.4	0.2	0.2	0.2	402	402	4902111	27	27
GCA_040416405.1	99.6	99.4	0.2	0.2	0.2	243	243	5032176	48	48
GCA_040416415.1	99.6	99.4	0.2	0.2	0.2	194	194	5045278	96	96
GCA_040416435.1	99.6	99.4	0.2	0.2	0.2	166	166	5057400	94	94
GCA_040416475.1	99.6	99.4	0.2	0.2	0.2	262	262	4960536	45	45
GCA_040416495.1	99.6	99.4	0.2	0.2	0.2	243	243	5055696	53	53
GCA_040416505.1	99.6	99.3	0.4	0.2	0.2	222	222	5037942	76	76
GCA_040416515.1	99.6	99.4	0.2	0.2	0.2	163	163	5046745	119	119
GCA_040416525.1	99.6	99.4	0.2	0.2	0.2	208	208	4872882	54	54
GCA_040416565.1	99.6	99.4	0.2	0.2	0.2	192	192	5062208	83	83
GCA_040416595.1	99.6	99.4	0.2	0.2	0.2	241	241	5048439	52	52
GCA_040416615.1	99.6	99.4	0.2	0.2	0.2	194	194	5064267	70	70
GCA_040416625.1	99.6	99.4	0.2	0.2	0.2	195	195	5059118	83	83
GCA_040416635.1	99.6	99.4	0.2	0.2	0.2	179	179	5064339	88	88
GCA_040416695.1	99.6	99.4	0.2	0.2	0.2	180	180	5050882	87	87
GCA_040416705.1	99.6	99.4	0.2	0.2	0.2	309	309	4991288	43	43
GCA_040416775.1	99.6	99.3	0.4	0.2	0.2	168	168	5048645	106	106
GCA_040416795.1	99.6	99.4	0.2	0.2	0.2	288	288	4886223	52	52
GCA_040416815.1	99.6	99.4	0.2	0.2	0.2	245	245	4867994	43	43
GCA_040416845.1	99.4	98.0	1.5	0.4	0.2	520	520	5596348	69	69
GCA_040416865.1	99.6	99.4	0.2	0.2	0.2	174	174	5060737	83	83
GCA_040416885.1	99.6	99.4	0.2	0.2	0.2	296	296	5032944	58	58
GCA_040416915.1	99.6	99.4	0.2	0.2	0.2	227	227	5004577	76	76
GCA_040416955.1	99.6	99.3	0.4	0.2	0.2	154	154	5052450	147	147
GCA_040416975.1	99.6	99.4	0.2	0.2	0.2	226	226	5042180	68	68
GCA_040416995.1	99.6	99.4	0.2	0.2	0.2	270	270	4962681	55	55
GCA_040417015.1	99.6	99.4	0.2	0.2	0.2	275	275	4951263	52	52
GCA_040417035.1	99.6	99.4	0.2	0.2	0.2	200	200	5060940	81	81
GCA_040417055.1	99.6	99.4	0.2	0.2	0.2	312	312	5078209	40	40
GCA_040417095.1	99.6	99.4	0.2	0.2	0.2	246	246	4939295	66	66
GCA_040417135.1	99.6	99.4	0.2	0.2	0.2	230	230	5050053	67	67
GCA_040417175.1	99.6	99.4	0.2	0.2	0.2	213	213	5027196	99	99
GCA_040417195.1	99.6	99.4	0.2	0.2	0.2	210	210	4980357	94	94
GCA_040417215.1	99.6	99.4	0.2	0.2	0.2	170	170	4987759	134	134
GCA_040417235.1	99.6	99.4	0.2	0.2	0.2	290	290	4935387	52	52
GCA_040417305.1	99.6	99.4	0.2	0.2	0.2	233	233	5039814	55	55
GCA_040417335.1	99.6	99.4	0.2	0.2	0.2	170	170	5044499	106	106
GCA_040417365.1	99.6	99.4	0.2	0.2	0.2	144	144	5043952	133	133
GCA_040417385.1	99.6	99.4	0.2	0.2	0.2	212	212	5058666	93	93
GCA_040417405.1	99.6	99.4	0.2	0.2	0.2	254	254	5020378	69	69
GCA_040417445.1	99.6	99.4	0.2	0.2	0.2	274	274	5026580	46	46
GCA_040417455.1	99.6	99.4	0.2	0.2	0.2	259	259	5087683	53	53
GCA_040417485.1	99.6	99.4	0.2	0.2	0.2	253	253	4924580	69	69
GCA_040417525.1	99.6	99.4	0.2	0.2	0.2	217	217	5044569	72	72
GCA_040417585.1	99.6	99.4	0.2	0.2	0.2	223	223	5222949	64	64
GCA_040417625.1	99.6	99.4	0.2	0.2	0.2	254	254	5034940	49	49
GCA_040417645.1	99.6	99.4	0.2	0.2	0.2	278	278	5024345	46	46
GCA_040417665.1	99.6	99.4	0.2	0.2	0.2	263	263	4959165	69	69
GCA_040417685.1	99.6	99.4	0.2	0.2	0.2	183	183	5061303	91	91
GCA_040417725.1	99.6	99.4	0.2	0.2	0.2	257	257	5049567	70	70
GCA_040417745.1	99.6	99.4	0.2	0.2	0.2	221	221	5023298	80	80
GCA_040417765.1	99.6	99.4	0.2	0.2	0.2	165	165	4963188	141	141
GCA_040417785.1	99.6	99.4	0.2	0.2	0.2	245	245	5037755	49	49
GCA_040417825.1	99.6	99.4	0.2	0.2	0.2	172	172	5063471	83	83
GCA_040417845.1	99.6	99.4	0.2	0.2	0.2	203	203	5047132	65	65
GCA_040417865.1	99.6	99.4	0.2	0.2	0.2	255	255	5030618	61	61
GCA_040417875.1	99.6	99.4	0.2	0.2	0.2	241	241	5090477	54	54
GCA_040417905.1	99.6	99.4	0.2	0.2	0.2	272	272	5040267	42	42
GCA_040417925.1	99.6	99.4	0.2	0.2	0.2	306	306	5022439	40	40
GCA_040417945.1	99.6	99.4	0.2	0.2	0.2	268	268	5033732	45	45
GCA_040417965.1	99.6	99.4	0.2	0.2	0.2	210	210	5056554	63	63
GCA_040417985.1	99.6	99.4	0.2	0.2	0.2	278	278	5035631	45	45
GCA_040418025.1	99.6	99.4	0.2	0.2	0.2	260	260	4887106	59	59
GCA_040418105.1	99.6	99.4	0.2	0.2	0.2	258	258	5032918	58	58
GCA_040418125.1	99.6	99.4	0.2	0.2	0.2	274	274	5032750	42	42
GCA_040418145.1	99.6	99.4	0.2	0.2	0.2	235	235	5050120	55	55
GCA_040418205.1	99.6	99.4	0.2	0.2	0.2	258	258	5004521	67	67
GCA_040418225.1	99.6	99.4	0.2	0.2	0.2	186	186	4950668	110	110
GCA_040418245.1	99.6	99.3	0.4	0.2	0.2	143	143	5052242	141	141
GCA_040418265.1	99.6	99.4	0.2	0.2	0.2	184	184	5053012	88	88
GCA_040418305.1	99.6	99.4	0.2	0.2	0.2	202	202	5049913	102	102
GCA_040418325.1	99.6	99.4	0.2	0.2	0.2	201	201	5054565	83	83
GCA_040418385.1	99.6	99.3	0.4	0.2	0.2	250	250	5028769	61	61
GCA_040418405.1	99.6	99.4	0.2	0.2	0.2	205	205	4960376	58	58
GCA_040418485.1	99.6	99.4	0.2	0.2	0.2	181	181	5045061	89	89
GCA_040418505.1	99.6	99.4	0.2	0.2	0.2	275	275	5032414	51	51
GCA_040418525.1	99.6	99.4	0.2	0.2	0.2	185	185	4980378	97	97
GCA_040418545.1	99.6	99.4	0.2	0.2	0.2	226	226	5073393	61	61
GCA_040418565.1	99.6	99.4	0.2	0.2	0.2	221	221	5024845	61	61
GCA_040418585.1	99.6	99.4	0.2	0.2	0.2	179	179	4936712	118	118
GCA_040418605.1	99.6	99.4	0.2	0.2	0.2	234	234	5059175	58	58
GCA_040418625.1	99.6	99.4	0.2	0.2	0.2	318	318	4995062	39	39
GCA_040418645.1	99.6	99.4	0.2	0.2	0.2	212	212	5058706	71	71
GCA_040418685.1	99.6	99.4	0.2	0.2	0.2	197	197	5051992	81	81
GCA_040418705.1	99.6	99.4	0.2	0.2	0.2	197	197	5047265	97	97
GCA_040418725.1	99.6	99.4	0.2	0.2	0.2	234	234	5051434	55	55
GCA_040418745.1	99.6	99.4	0.2	0.2	0.2	208	208	5060439	65	65
GCA_040418755.1	99.6	99.4	0.2	0.2	0.2	292	292	5023856	48	48
GCA_040418805.1	99.6	99.4	0.2	0.2	0.2	230	230	5043804	58	58
GCA_040418825.1	99.6	99.4	0.2	0.2	0.2	260	260	5065820	56	56
GCA_040418845.1	99.6	99.4	0.2	0.2	0.2	270	270	5051442	44	44
GCA_040418885.1	99.6	99.4	0.2	0.2	0.2	264	264	5038268	51	51
GCA_040418905.1	99.6	99.4	0.2	0.2	0.2	224	224	5037329	78	78
GCA_040418915.1	99.6	99.4	0.2	0.2	0.2	215	215	5057235	69	69
GCA_040418945.1	99.6	99.4	0.2	0.2	0.2	259	259	5045485	49	49
GCA_040418965.1	99.6	99.4	0.2	0.2	0.2	200	200	5057965	84	84
GCA_040418985.1	99.6	99.3	0.4	0.2	0.2	229	229	5147962	61	61
GCA_040419005.1	99.6	99.4	0.2	0.2	0.2	225	225	5050944	66	66
GCA_040419025.1	99.6	99.4	0.2	0.2	0.2	240	240	5042928	90	90
GCA_040419045.1	99.6	99.3	0.4	0.2	0.2	157	157	5045184	110	110
GCA_040419065.1	99.6	99.4	0.2	0.2	0.2	220	220	5031679	69	69
GCA_040419085.1	99.6	99.4	0.2	0.2	0.2	184	184	5057945	79	79
GCA_040419105.1	99.6	99.4	0.2	0.2	0.2	212	212	5028461	95	95
GCA_040419125.1	99.6	99.4	0.2	0.2	0.2	225	225	5091633	56	56
GCA_040419145.1	99.6	99.4	0.2	0.2	0.2	217	217	4951157	81	81
GCA_040419165.1	99.6	99.4	0.2	0.2	0.2	241	241	5052679	52	52
GCA_040419185.1	99.6	99.4	0.2	0.2	0.2	242	242	5044587	56	56
GCA_040419205.1	99.6	99.4	0.2	0.2	0.2	195	195	5043279	94	94
GCA_040507325.1	99.6	99.3	0.4	0.2	0.2	197	197	5041256	72	72
GCA_040507365.1	99.6	99.4	0.2	0.2	0.2	211	211	5052775	70	70
GCA_040712335.1	99.4	99.3	0.2	0.2	0.4	118	118	5137068	119	119
GCA_040712345.1	99.6	99.4	0.2	0.2	0.2	153	153	5164455	119	119
GCA_040712355.1	99.6	99.4	0.2	0.2	0.2	119	119	5023931	120	120
GCA_040712435.1	99.6	99.4	0.2	0.2	0.2	132	132	5128423	120	120
GCA_040712465.1	99.6	99.4	0.2	0.2	0.2	131	131	5111903	122	122
GCA_040712505.1	99.6	99.4	0.2	0.2	0.2	151	151	5189579	119	119
GCA_040713295.1	99.6	99.4	0.2	0.2	0.2	191	191	5492320	119	119
GCA_040713425.1	99.6	99.3	0.4	0.2	0.2	61	61	5222927	365	365
GCA_040713755.1	99.6	99.4	0.2	0.2	0.2	172	172	5308062	106	106
GCA_040713795.1	99.6	99.6	0.0	0.2	0.2	138	138	5161348	99	99
GCA_040713875.1	99.6	99.4	0.2	0.2	0.2	170	170	5192672	110	110
GCA_040716695.1	99.6	99.1	0.6	0.2	0.2	109	109	5559193	248	248
GCA_045801095.1	99.6	99.4	0.2	0.2	0.2	191	191	4934362	137	137
GCA_049379845.1	99.6	99.3	0.4	0.2	0.2	115	115	5259944	174	174
GCA_049379945.1	99.6	99.3	0.4	0.2	0.2	111	111	5351129	173	173
GCA_049380025.1	99.6	99.3	0.4	0.2	0.2	107	107	5209738	210	210
GCA_049546825.1	99.6	99.4	0.2	0.2	0.2	9	9	5051904	4	4
GCA_050112895.1	99.6	99.4	0.2	0.2	0.2	13	13	5212812	4	4
GCA_050112935.1	99.4	99.3	0.2	0.4	0.2	13	13	5155252	934	934
GCA_050112975.1	99.6	99.4	0.2	0.2	0.2	9	9	5174040	4	4
GCA_050113015.1	99.6	99.3	0.4	0.2	0.2	9	9	5170585	4	4
GCA_050113055.1	99.6	99.4	0.2	0.2	0.2	10	10	5217691	4	4
GCA_050113075.1	99.6	99.3	0.4	0.2	0.2	8	8	5133047	4	4
GCA_050113115.1	99.6	99.4	0.2	0.2	0.2	11	11	5179137	4	4
GCA_050113135.1	99.6	99.4	0.2	0.2	0.2	6	6	5175508	4	4
GCA_050113155.1	99.6	99.4	0.2	0.2	0.2	11	11	5181058	4	4
GCA_050113175.1	99.6	99.4	0.2	0.2	0.2	12	12	5292591	4	4
GCA_050113195.1	99.6	99.4	0.2	0.2	0.2	10	10	5193595	4	4
GCA_050955345.1	99.6	99.4	0.2	0.2	0.2	197	202	4916907	106	106
GCA_052072695.1	99.6	99.4	0.2	0.2	0.2	153	153	5035872	190	190
GCA_052072795.1	99.6	99.4	0.2	0.2	0.2	107	107	5001907	178	178
GCA_052072855.1	99.6	99.4	0.2	0.2	0.2	117	117	4934622	203	203
GCA_052072985.1	99.6	99.4	0.2	0.2	0.2	148	148	4920799	150	150
GCA_053164725.1	99.6	99.4	0.2	0.2	0.2	3	3	5142182	4	4
GCA_907163365.1	99.6	99.6	0.0	0.2	0.2	262	262	4903977	89	89
GCA_907163485.1	99.6	99.4	0.2	0.2	0.2	237	237	5098953	101	101
GCA_907163495.1	99.6	99.4	0.2	0.2	0.2	239	239	5085967	86	86
GCA_907163515.1	99.6	99.3	0.4	0.2	0.2	162	162	5208592	163	163
GCA_907163575.1	99.6	99.3	0.4	0.2	0.2	174	174	5215304	173	173
GCA_907163605.1	99.6	99.3	0.4	0.2	0.2	163	163	5214376	190	190
GCA_907163625.1	99.6	99.3	0.4	0.2	0.2	165	165	5213250	172	172
GCA_907163635.1	99.6	99.3	0.4	0.2	0.2	180	180	5215489	164	164
GCA_907163665.1	99.6	99.4	0.2	0.2	0.2	242	242	5087018	121	121
GCA_907163705.1	99.6	99.3	0.4	0.2	0.2	159	159	5113558	173	173
GCA_907163715.1	99.6	99.4	0.2	0.2	0.2	224	224	5087201	108	108
GCA_907163735.1	99.6	99.1	0.6	0.2	0.2	182	182	5290876	205	205
GCA_907163765.1	99.6	99.3	0.4	0.2	0.2	144	144	5108629	191	191
GCA_907163805.1	99.6	99.3	0.4	0.2	0.2	146	146	5148998	222	222
GCA_907163815.1	99.6	99.3	0.4	0.2	0.2	141	141	5110065	246	246
GCA_907163825.1	99.6	99.3	0.4	0.2	0.2	147	147	5149936	217	217
GCA_907163915.1	99.6	99.3	0.4	0.2	0.2	179	179	5287108	225	225
GCA_907163995.1	99.6	99.4	0.2	0.2	0.2	205	205	5065702	176	176
GCA_907164245.1	99.6	99.3	0.4	0.2	0.2	157	157	5055383	209	209
GCA_907164365.1	99.6	99.3	0.4	0.2	0.2	140	140	5148220	222	222
GCA_907164375.1	99.6	99.3	0.4	0.2	0.2	162	162	5193590	191	191
GCA_964006015.1	99.6	99.3	0.4	0.2	0.2	163	163	5219721	134	134
GCA_964006025.1	99.6	99.1	0.6	0.2	0.2	110	110	5278524	190	190
GCA_964006055.1	99.4	99.1	0.4	0.2	0.4	129	129	5223309	178	178
GCA_964006105.1	99.6	99.3	0.4	0.2	0.2	103	103	5249461	190	190
GCA_964006175.1	99.6	99.3	0.4	0.2	0.2	84	84	5197050	191	191
GCA_964006185.1	99.4	99.3	0.2	0.4	0.2	252	252	5384683	103	103
GCA_964006205.1	99.1	98.7	0.4	0.6	0.4	280	280	5095753	48	48
GCA_964006225.1	99.6	99.4	0.2	0.2	0.2	164	164	5310506	138	138
GCA_964006265.1	99.6	99.4	0.2	0.2	0.2	166	166	5309796	165	165
GCA_964006295.1	99.6	99.3	0.4	0.2	0.2	166	166	5112343	124	124
GCA_964006315.1	99.6	99.3	0.4	0.2	0.2	96	96	5172482	192	192
GCA_964006325.1	99.6	98.9	0.7	0.2	0.2	579	579	5415111	138	138
GCA_964006355.1	99.6	99.3	0.4	0.2	0.2	84	84	5168908	190	190
GCA_964006385.1	99.6	99.3	0.4	0.2	0.2	102	102	5193690	159	159
GCA_964006395.1	99.6	99.3	0.4	0.2	0.2	133	133	5324155	158	158
GCA_964006405.1	99.6	99.3	0.4	0.2	0.2	99	99	5168098	190	190
GCA_964006435.1	99.4	99.3	0.2	0.2	0.4	236	236	5124923	118	118
GCA_964006445.1	99.6	99.4	0.2	0.2	0.2	200	200	5096069	90	90
GCA_964006475.1	99.6	99.3	0.4	0.2	0.2	121	121	5166343	158	158
GCA_964006505.1	99.6	99.3	0.4	0.2	0.2	96	96	5047947	190	190
