Filename	Total Sequences	Total Length	Total Bases	GC Content (%)	AT Content (%)	N50	N75	N90	Median Length	Mean Length	Longest Sequence	Shortest Sequence	Ambiguous Bases (%)	Sequences with Ns	Max N-run	Homopolymers	Max Homopolymer	Duplicate Sequences	Short Sequences (<100 bp)	Long Sequences (>1M bp)	File Size (MB)	Warnings	E. coli Status	Best Species	ANI (%)	E. coli / Shigella Confirmed	Contamination Suspected
GCA_964006615.1.fna	250	5283595	5283595	50.65	49.35	87879	36443	13988	4297.5	21134	236183	253	0.00	0	0	22755	10	0	0	0	5.13	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.83	Yes	No
GCA_009793635.1.fna	108	4786391	4786391	50.72	49.28	169883	116740	79194	1326.5	44318	706866	220	0.00	0	0	19951	10	0	0	0	4.63	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.54	Yes	No
GCA_037047685.1.fna	237	5241275	5241275	50.74	49.26	112923	52187	16321	1966	22115	230264	200	0.00	0	0	22552	10	0	0	0	5.09	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_011763275.1.fna	174	4704788	4704788	50.74	49.26	90929	44695	26168	2809.0	27039	242372	206	0.00	0	0	19753	11	0	0	0	4.56	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.55	Yes	No
GCA_964006655.1.fna	145	5063706	5063706	49.80	50.20	120003	58145	21676	8873	34922	292994	343	0.00	0	0	23189	11	0	0	0	4.91	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.56	Yes	No
GCA_037046935.1.fna	241	5250905	5250905	50.77	49.23	130866	51901	15101	2602	21788	256678	200	0.00	0	0	22524	10	0	0	0	5.10	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.77	Yes	No
GCA_040713755.1.fna	172	5308062	5308062	50.38	49.61	106922	51843	24267	6498.0	30861	255765	516	0.00	0	0	22671	12	0	0	0	5.14	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.66	Yes	No
GCA_030025055.1.fna	193	5154594	5154594	50.74	49.26	243624	117678	25893	1056	26708	404044	200	0.00	3	76	21806	11	0	0	0	4.99	2	GC:Normal,Size:Normal	Escherichia Coli K12	96.8	Yes	No
GCA_040416105.1.fna	231	5034905	5034905	50.66	49.34	56294	30836	14077	7705	21796	203365	216	0.00	0	0	21234	10	0	0	0	4.88	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.42	Yes	No
GCA_964006635.1.fna	126	4999078	4999078	50.75	49.25	192138	91858	27056	6502.0	39675	355467	237	0.00	0	0	21199	10	0	0	0	4.84	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_009824335.1.fna	165	4870603	4870603	50.73	49.27	174322	106493	39783	641	29519	665936	206	0.00	0	0	20468	9	0	0	0	4.72	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.51	Yes	No
GCA_966555485.1.fna	112	4909871	4909871	50.74	49.26	123989	59408	23781	19227.0	43838	303387	502	0.00	0	0	20641	22	0	0	0	4.76	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.54	Yes	No
GCA_040417745.1.fna	221	5023298	5023298	50.73	49.27	80167	39190	14658	4570	22730	219752	221	0.00	0	0	21139	13	0	0	0	4.87	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.36	Yes	No
GCA_964205535.1.fna	146	4953403	4953403	50.69	49.31	172963	74881	27440	3277.5	33927	452011	202	0.00	0	0	20980	10	0	0	0	4.80	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.79	Yes	No
GCA_040417335.1.fna	170	5044499	5044499	50.70	49.30	106566	57769	22467	4261.0	29674	358694	226	0.00	0	0	21262	12	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.37	Yes	No
GCA_964205425.1.fna	131	5158804	5158804	50.60	49.40	124139	69351	27547	9350	39380	301506	303	0.00	0	0	22191	10	0	0	0	5.00	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.86	Yes	No
GCA_040419105.1.fna	212	5028461	5028461	50.71	49.29	95504	45230	19330	2927.5	23719	339583	218	0.00	0	0	21199	11	0	0	0	4.87	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.37	Yes	No
GCA_009793505.1.fna	92	4747631	4747631	50.68	49.32	167571	119141	79194	2692.5	51605	706683	204	0.00	0	0	19806	10	0	0	0	4.59	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.55	Yes	No
GCA_964206355.1.fna	130	5165652	5165652	50.56	49.44	190889	80442	25195	6061.0	39736	484459	285	0.00	0	0	22120	10	0	0	0	5.00	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.82	Yes	No
GCA_037048925.1.fna	246	4890566	4890566	50.63	49.37	63488	33901	13988	4102.5	19880	178702	207	0.00	0	0	20517	10	0	0	0	4.75	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.45	Yes	No
GCA_040417485.1.fna	253	4924580	4924580	50.79	49.21	69753	36134	12633	3287	19465	209592	218	0.00	0	0	20588	9	0	0	0	4.78	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.36	Yes	No
GCA_964006795.1.fna	278	5137350	5137350	50.69	49.31	51427	26220	12110	5872.5	18480	265003	231	0.00	0	0	21893	10	0	0	0	4.99	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.8	Yes	No
GCA_025544835.1.fna	365	4736055	4736055	50.65	49.33	34390	21862	9334	3485	12975	109553	201	0.02	8	100	19900	27	0	0	0	4.61	3	GC:Normal,Size:Normal	Escherichia Coli K12	99.25	Yes	No
GCA_009824835.1.fna	81	4680920	4680920	50.73	49.27	163188	121741	88935	2935	57789	550854	206	0.00	0	0	19430	10	0	0	0	4.53	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.54	Yes	No
GCA_037047175.1.fna	192	5123945	5123945	50.73	49.27	123599	61928	21045	3462.5	26687	273958	207	0.00	0	0	21939	10	0	0	0	4.97	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.82	Yes	No
GCA_907163735.1.fna	182	5290876	5290876	50.70	49.30	205093	132429	41614	542.5	29071	511563	115	0.00	0	0	22575	10	0	0	0	5.13	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.76	Yes	No
GCA_040418745.1.fna	208	5060439	5060439	50.64	49.36	65440	35798	16679	6111.0	24329	269033	216	0.00	0	0	21419	10	0	0	0	4.91	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.4	Yes	No
GCA_964205725.1.fna	143	5419730	5419730	50.60	49.40	169607	82810	29503	5064	37900	466203	281	0.00	0	0	23507	10	0	0	0	5.25	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.76	Yes	No
GCA_009823945.1.fna	128	4765907	4765907	50.77	49.23	134452	76800	37830	2641.5	37234	345269	213	0.00	0	0	19899	11	0	0	0	4.62	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.45	Yes	No
GCA_022488185.1.fna	1	4640960	4640960	50.79	49.20	4640960	4640960	4640960	4640960	4640960	4640960	4640960	0.01	1	4	19225	11	0	0	1	4.48	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.67	Yes	No
GCA_040415685.1.fna	190	5051624	5051624	50.67	49.33	107457	52108	19270	4151.5	26587	369840	214	0.00	0	0	21638	11	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.45	Yes	No
GCA_964206385.1.fna	371	4830810	4830810	50.70	49.30	30229	16546	7900	6053	13021	132412	202	0.00	0	0	20299	11	0	0	0	4.71	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.42	Yes	No
GCA_040416355.1.fna	219	5059086	5059086	50.68	49.32	97518	33353	15632	4909	23101	229052	209	0.00	0	0	21684	9	0	0	0	4.90	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.52	Yes	No
GCA_040416565.1.fna	192	5062208	5062208	50.64	49.36	83692	40193	22440	5376.0	26366	279227	208	0.00	0	0	21414	10	0	0	0	4.91	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.44	Yes	No
GCA_040416405.1.fna	243	5032176	5032176	50.68	49.32	48922	31136	14424	6879	20709	203345	208	0.00	0	0	21225	10	0	0	0	4.88	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.44	Yes	No
GCA_040507365.1.fna	211	5052775	5052775	50.65	49.35	70607	37725	17933	5638	23947	269033	226	0.00	0	0	21356	10	0	0	0	4.90	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.45	Yes	No
GCA_040418945.1.fna	259	5045485	5045485	50.67	49.33	49922	29985	12434	6097	19481	213816	202	0.00	0	0	21291	10	0	0	0	4.90	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.42	Yes	No
GCA_964006405.1.fna	99	5168098	5168098	50.60	49.40	190971	120746	42198	9336	52203	389134	293	0.00	0	0	22233	10	0	0	0	5.00	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.75	Yes	No
GCA_964205545.1.fna	90	5167449	5167449	50.60	49.40	180617	117061	41504	10937.0	57416	389139	344	0.00	0	0	22232	10	0	0	0	5.00	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.8	Yes	No
GCA_009795595.1.fna	121	4748624	4748624	50.69	49.31	188117	119371	85011	988	39245	706730	206	0.00	0	0	19796	10	0	0	0	4.60	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.51	Yes	No
GCA_037047235.1.fna	243	5201573	5201573	50.48	49.52	103614	70696	21298	1395	21406	303172	200	0.00	0	0	22375	10	0	0	0	5.05	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.82	Yes	No
GCA_050112975.1.fna	9	5174040	5174040	50.62	49.38	4910838	4910838	4910838	18886	574893	4910838	527	0.00	0	0	21877	10	0	0	1	5.00	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.42	Yes	No
GCA_964006315.1.fna	96	5172482	5172482	50.60	49.40	192026	120746	61275	7616.5	53880	410042	258	0.00	0	0	22250	10	0	0	0	5.01	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_964006545.1.fna	167	5140705	5140705	50.67	49.33	137798	84375	32691	2237	30783	308169	243	0.00	0	0	22094	10	0	0	0	4.98	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.8	Yes	No
GCA_964206505.1.fna	127	5135813	5135813	50.68	49.32	190971	84375	34920	4278	40439	319572	243	0.00	0	0	22046	10	0	0	0	4.97	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_040417765.1.fna	165	4963188	4963188	50.73	49.27	141400	61551	31136	2969	30080	357160	221	0.00	0	0	20960	11	0	0	0	4.81	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.37	Yes	No
GCA_040713425.1.fna	61	5222927	5222927	50.52	49.47	365153	247197	86841	6896	85622	864831	522	0.00	0	0	22457	11	0	0	0	5.05	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.72	Yes	No
GCA_907163515.1.fna	162	5208592	5208592	50.74	49.26	163437	109215	39536	817.5	32152	623007	114	0.00	0	0	22323	10	0	0	0	5.05	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.77	Yes	No
GCA_000713235.1.fna	140	5264612	5264612	50.69	49.31	119519	58909	30251	7019.0	37604	435645	301	0.00	0	0	22799	38	0	0	0	5.10	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.47	Yes	No
GCA_964006855.1.fna	131	5291131	5291131	50.66	49.34	156627	89750	32102	5733	40390	267794	267	0.00	0	0	22673	10	0	0	0	5.13	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_040712435.1.fna	132	5128423	5128423	50.60	49.39	120937	58014	23187	11528.0	38852	263940	505	0.00	0	0	21865	10	0	0	0	4.96	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.45	Yes	No
GCA_964007215.1.fna	139	5367337	5367337	50.51	49.49	190971	89750	29616	4980	38614	406675	292	0.00	0	0	23356	10	0	0	0	5.20	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_968938235.1.fna	3137	7647159	7647159	51.05	48.95	47043	1210	700	766	2438	241417	500	0.00	0	0	32530	10	0	0	0	7.81	3	GC:Atypical,Size:Atypical	Escherichia Coli K12	99.54	Yes	No
GCA_964006175.1.fna	84	5197050	5197050	50.66	49.34	191964	123855	41804	10558.5	61870	434786	357	0.00	0	0	22432	10	0	0	0	5.03	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.72	Yes	No
GCA_040716695.1.fna	109	5559193	5559193	50.38	49.61	248065	124065	35989	6320	51002	604899	530	0.01	0	0	24115	10	0	0	0	5.38	1	GC:Normal,Size:Atypical	Escherichia Coli K12	96.69	Yes	No
GCA_040418485.1.fna	181	5045061	5045061	50.69	49.31	89012	52113	18378	5608	27873	272604	225	0.00	0	0	21304	12	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.34	Yes	No
GCA_964205355.1.fna	176	4873183	4873183	50.79	49.21	77638	40106	20154	7310.0	27689	247740	299	0.00	0	0	20471	11	0	0	0	4.73	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.41	Yes	No
GCA_040418125.1.fna	274	5032750	5032750	50.72	49.28	42337	23781	11561	8110.0	18368	129468	202	0.00	0	0	21139	10	0	0	0	4.88	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.46	Yes	No
GCA_040418705.1.fna	197	5047265	5047265	50.70	49.30	97759	43638	16299	4480	25621	358315	218	0.00	0	0	21302	12	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.39	Yes	No
GCA_037048805.1.fna	327	5129514	5129514	50.75	49.25	85879	34355	14882	1610	15687	300228	201	0.00	0	0	21827	13	0	0	0	4.99	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.45	Yes	No
GCA_040418605.1.fna	234	5059175	5059175	50.66	49.34	58240	32121	15061	6782.0	21620	179016	208	0.00	0	0	21414	10	0	0	0	4.91	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.49	Yes	No
GCA_037049365.1.fna	192	4931766	4931766	50.73	49.27	75086	41349	24125	4633.0	25686	311753	201	0.00	0	0	20719	11	0	0	0	4.78	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.44	Yes	No
GCA_964007035.1.fna	154	5365599	5365599	50.61	49.39	191909	83387	30715	2605.5	34842	341817	243	0.00	0	0	23073	10	0	0	0	5.20	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_040418305.1.fna	202	5049913	5049913	50.62	49.38	102505	41150	17169	5231.5	25000	269033	216	0.00	0	0	21373	10	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.4	Yes	No
GCA_907163485.1.fna	237	5098953	5098953	50.45	49.55	101506	57739	29047	820	21515	273880	112	0.00	0	0	21949	12	0	0	0	4.95	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.33	Yes	No
GCA_037047485.1.fna	312	5257382	5257382	50.49	49.51	130639	54358	17269	991.5	16851	363684	212	0.00	0	0	22659	11	0	0	0	5.11	2	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_040712355.1.fna	119	5023931	5023931	50.59	49.41	120938	62580	24284	14243	42218	289484	501	0.01	0	0	21295	13	0	0	0	4.86	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.42	Yes	No
GCA_011763135.1.fna	104	4743936	4743936	50.70	49.30	168393	121741	85008	1506.0	45615	706958	227	0.00	0	0	19752	10	0	0	0	4.59	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.55	Yes	No
GCA_009901125.1.fna	122	4971573	4971573	50.57	49.43	158502	95010	46824	1952.5	40751	466918	209	0.00	0	0	21469	11	0	0	0	4.81	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.44	Yes	No
GCA_040419125.1.fna	225	5091633	5091633	50.52	49.48	56826	35962	16317	6720	22629	160483	202	0.00	0	0	21669	10	0	0	0	4.94	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.44	Yes	No
GCA_964206585.1.fna	118	5268811	5268811	50.61	49.39	190796	96178	35050	5088.0	44651	709982	266	0.00	0	0	22644	10	0	0	0	5.10	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.76	Yes	No
GCA_964007395.1.fna	151	5304328	5304328	50.63	49.37	177347	104405	34029	3819	35128	466162	233	0.00	0	0	22858	10	0	0	0	5.14	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.75	Yes	No
GCA_966556535.1.fna	315	5136392	5136392	50.76	49.24	125352	54983	16450	727	16306	288610	500	0.00	0	0	21926	20	0	0	0	5.00	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.5	Yes	No
GCA_907163665.1.fna	242	5087018	5087018	50.46	49.54	121519	62399	28202	614.0	21021	255134	113	0.00	0	0	21879	11	0	0	0	4.94	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.36	Yes	No
GCA_040418145.1.fna	235	5050120	5050120	50.67	49.33	55402	29854	15061	6722	21490	189693	208	0.00	0	0	21322	10	0	0	0	4.90	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.42	Yes	No
GCA_040417945.1.fna	268	5033732	5033732	50.72	49.28	45239	23087	13354	7827.5	18783	269033	208	0.00	0	0	21168	10	0	0	0	4.88	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.4	Yes	No
GCA_009901145.1.fna	153	4766290	4766290	50.91	49.09	148554	70576	37846	2134	31152	463301	209	0.00	0	0	19667	10	0	0	0	4.62	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.51	Yes	No
GCA_009795645.1.fna	97	4741736	4741736	50.69	49.31	187823	119371	88390	1708	48884	352506	206	0.00	0	0	19736	10	0	0	0	4.59	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.52	Yes	No
GCA_040419165.1.fna	241	5052679	5052679	50.66	49.34	52227	31136	14307	6326	20965	188158	202	0.00	0	0	21357	10	0	0	0	4.90	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.43	Yes	No
GCA_037049005.1.fna	203	4821598	4821598	50.58	49.42	82497	35720	19194	6384	23752	178700	203	0.00	0	0	20237	10	0	0	0	4.68	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.45	Yes	No
GCA_009900425.1.fna	169	4631696	4631696	50.87	49.13	124709	60685	35931	1106	27406	463303	205	0.00	0	0	19116	10	0	0	0	4.49	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.53	Yes	No
GCA_040415465.1.fna	321	5086485	5086485	50.80	49.20	44256	21511	8804	5135	15846	141327	225	0.00	0	0	21346	13	0	0	0	4.94	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.38	Yes	No
GCA_022968555.1.fna	181	5067872	5067872	50.54	49.46	89215	34222	14999	10181	27999	187302	357	0.00	0	0	21472	10	0	0	0	4.91	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.45	Yes	No
GCA_009824475.1.fna	126	4851314	4851314	50.76	49.24	135316	105482	44659	1837.0	38502	430326	204	0.00	0	0	20293	9	0	0	0	4.70	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.53	Yes	No
