Sample,ST,Serotype,Phylogroup,CH_Type,Pathotype,AMR_Count,Virulence_Count
GCA_964006555.1,ST131,O16:H5,B2,fumC40:fimH41,DAEC,38,223
GCA_040416915.1,ST167,O101:H5,A,fumC11:Unknown,none,26,212
GCA_964206525.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,227
GCA_040415445.1,ST167,O101:H9,A,fumC11:Unknown,none,27,216
GCA_040418125.1,ST167,O101:H9,A,fumC11:Unknown,none,28,215
GCA_040419065.1,ST167,O101:H5,A,fumC11:Unknown,none,31,211
GCA_040418605.1,ST167,O101:H9,A,fumC11:Unknown,none,31,218
GCA_040415585.1,ST167,O101:H9,A,fumC11:Unknown,none,28,219
GCA_964206005.1,ST131,O16:H5,B2,fumC40:fimH41,none,31,193
GCA_030024825.1,ST10,O9a:H9,A,fumC11:fimH54,none,17,201
GCA_009794485.1,ST10,O69:H10,A,fumC11:fimH24,none,16,216
GCA_964206275.1,ST167,O101:H10,A,fumC11:fimH54,none,32,181
GCA_049379845.1,ST10,O38:H26,A,fumC11:fimH24,STEC,24,231
GCA_009824205.1,ST10,O19:H19,A,fumC11:fimH24,none,17,211
GCA_966512345.1,ST10,O12:H4,A,fumC11:fimH27,none,19,245
GCA_964206045.1,ST131,O25:H4,B2,fumC40:fimH30,none,28,209
GCA_964006015.1,ST131,O16:H5,B2,fumC40:fimH41,none,37,227
GCA_040419125.1,ST167,O101:H9,A,fumC11:Unknown,none,30,218
GCA_009901145.1,ST10,O9a:H9,A,fumC11:fimH54,none,20,200
GCA_040415855.1,ST167,O101:H9,A,fumC11:Unknown,none,27,220
GCA_037046935.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,208
GCA_964205825.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,233
GCA_964007445.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,234
GCA_040712435.1,ST10,Unknown,A,fumC11:fimH54,none,17,218
GCA_964205435.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,45,178
GCA_037048105.1,ST131,O25:H4,B2,fumC40:fimH30,none,40,209
GCA_964006795.1,ST131,O16:H5,B2,fumC40:fimH41,none,37,222
GCA_964006185.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,48,228
GCA_037047235.1,ST131,O16:H5,B2,fumC40:fimH41,EAEC,28,221
GCA_009900425.1,ST10,O9a:H9,A,fumC11:fimH54,none,9,185
GCA_964205875.1,ST167,O101:H21,A,fumC11:fimH54,none,25,214
GCA_040712465.1,ST10,O101:H10,A,fumC11:fimH54,none,12,207
GCA_040415955.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_964206025.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,233
GCA_009901125.1,ST10,O113:H4,A,fumC11:fimH24,none,8,172
GCA_040416045.1,ST167,O101:H17,A,fumC11:Unknown,none,34,224
GCA_964006025.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,230
GCA_964006905.1,ST131,O25:H4,B2,fumC40:fimH30,none,44,162
GCA_009823885.1,ST10,O13/O129:H48,A,fumC11:fimH32,EAEC,10,148
GCA_049380025.1,ST10,O38:H26,A,fumC11:fimH24,STEC,24,231
GCA_964206355.1,ST131,O16:H5,B2,fumC40:fimH41,none,41,232
GCA_040418305.1,ST167,O101:H9,A,fumC11:Unknown,none,30,220
GCA_040415905.1,ST167,O101:H5,A,fumC11:Unknown,none,30,211
GCA_049546825.1,ST167,O101:H5,A,fumC11:Unknown,none,30,214
GCA_040415455.1,ST167,O101:H17,A,fumC11:Unknown,none,32,221
GCA_040417825.1,ST167,O101:H9,A,fumC11:Unknown,none,31,219
GCA_966555405.1,ST131,O25:H4,B2,fumC40:fimH30,none,40,219
GCA_964205725.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,52,246
GCA_011763295.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,7,167
GCA_040419085.1,ST167,O101:H9,A,fumC11:Unknown,none,30,221
GCA_964007035.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,216
GCA_964205375.1,ST167,O101:H17,A,fumC11:Unknown,none,35,231
GCA_040416515.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_024330145.2,ST10,O166:H10,A,fumC11:fimH54,none,14,156
GCA_964006355.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,230
GCA_040418245.1,ST167,O101:H5,A,fumC11:Unknown,none,31,212
GCA_040416955.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_009795645.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_037047245.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,213
GCA_972176395.1,ST131,O16:H5,B2,fumC40:fimH41,DAEC,40,226
GCA_037049385.1,ST167,O101:H21,A,fumC11:fimH54,none,24,204
GCA_907163605.1,ST131,O25:H4,B2,fumC40:fimH30,none,35,212
GCA_966555485.1,ST10,O101:H4,A,fumC11:Unknown,none,26,221
GCA_037048805.1,ST10,O45:H4,A,fumC11:fimH215,none,33,255
GCA_037049365.1,ST167,O8:H9,A,fumC11:fimH5,none,31,231
GCA_040418525.1,ST167,O101:H5,A,fumC11:Unknown,none,29,213
GCA_037049825.1,ST131,O25:H4,B2,fumC40:fimH30,none,38,232
GCA_025536555.1,ST10,O5:H11,A,fumC11:fimH23,none,9,125
GCA_045801095.1,ST167,Unknown,A,fumC11:Unknown,none,30,213
GCA_040417865.1,ST167,O101:H5,A,fumC11:Unknown,none,29,210
GCA_019355495.1,ST131,O25:H4,B2,fumC40:fimH30,none,43,219
GCA_037048925.1,ST10,O101:H10,A,fumC11:fimH54,none,33,195
GCA_040418705.1,ST167,O101:H5,A,fumC11:Unknown,none,30,211
GCA_964205505.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,230
GCA_964205595.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,233
GCA_040417385.1,ST167,O101:H17,A,fumC11:Unknown,none,34,222
GCA_907163715.1,ST167,O101:H21,A,fumC11:fimH54,none,36,216
GCA_964007025.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,233
GCA_964206185.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,217
GCA_022968555.1,ST10,O101:H10,A,fumC11:fimH54,none,37,232
GCA_040712335.1,ST167,O101:H9,A,fumC11:fimH31,none,32,227
GCA_964006265.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,42,234
GCA_040417175.1,ST167,O101:H5,A,fumC11:Unknown,none,28,213
GCA_040419045.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_040419165.1,ST167,O101:H9,A,fumC11:Unknown,none,30,218
GCA_009900645.1,ST10,O153:H21,A,fumC464:fimH24,none,13,207
GCA_053164725.1,ST10,Unknown,A,fumC11:fimH54,none,21,190
GCA_964205995.1,ST131,O25:H4,B2,fumC40:fimH30,none,36,222
GCA_037048185.1,ST131,O25:H4,B2,fumC40:fimH30,none,32,207
GCA_964205565.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,232
GCA_025630975.1,ST167,O101:H10,A,fumC11:fimH54,none,28,221
GCA_966562275.1,ST10,O12:H4,A,fumC11:fimH27,none,18,221
GCA_040416475.1,ST167,O101:H9,A,fumC11:Unknown,none,27,213
GCA_907163625.1,ST131,O25:H4,B2,fumC40:fimH30,none,35,212
GCA_040416095.1,ST167,O101:H17,A,fumC11:Unknown,none,34,223
GCA_040416205.1,ST167,O101:H17,A,fumC11:Unknown,none,33,222
GCA_040415675.1,ST167,O101:H5,A,fumC11:Unknown,none,26,207
GCA_964007195.1,ST167,O101:H10,A,fumC11:fimH54,none,34,232
GCA_966562775.1,ST10,O27:H37,A,fumC11:fimH215,EAEC,20,225
GCA_964205355.1,ST167,O101:H21,A,fumC11:fimH54,none,27,214
GCA_964205635.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,230
GCA_040416435.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_040713295.1,ST10,O51:H40,A,fumC11:fimH24,EPEC-EAEC,26,257
GCA_030520165.1,ST167,O101:H9,A,fumC11:Unknown,none,37,220
GCA_964205385.1,ST167,O101:H21,A,fumC11:fimH54,none,27,212
GCA_037048165.1,ST10,O101:H10,A,fumC11:fimH54,none,33,230
GCA_966576395.1,ST10,O12:H4,A,fumC11:fimH27,none,31,259
GCA_052072985.1,ST167,O101:H5,A,fumC11:Unknown,none,31,212
GCA_009720065.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,45,217
GCA_040418945.1,ST167,O101:H9,A,fumC11:Unknown,none,30,217
GCA_964006995.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,48,236
GCA_040417665.1,ST167,O101:H5,A,fumC11:Unknown,none,29,210
GCA_964206175.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,229
GCA_040419185.1,ST167,O101:H9,A,fumC11:Unknown,none,29,220
GCA_964006615.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,47,227
GCA_009901185.1,ST10,O73:H31,A,fumC11:fimH23,none,13,168
GCA_011763135.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_964205745.1,ST131,O16:H5,B2,fumC40:fimH41,none,38,213
GCA_011763075.1,ST10,O81:H27,A,fumC11:fimH23,EAEC,11,180
GCA_037047685.1,ST131,O25:H4,B2,fumC40:fimH30,none,38,225
GCA_040417525.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_964206575.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,48,237
GCA_964006725.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,232
GCA_970664135.1,ST131,O16:H5,B2,fumC40:fimH41,none,39,230
GCA_964205535.1,ST131,O16:H5,B2,fumC40:fimH41,none,37,211
GCA_964006395.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,217
GCA_040418225.1,ST167,O101:H5,A,fumC11:Unknown,none,29,213
GCA_040417725.1,ST167,O101:H17,A,fumC11:Unknown,none,34,223
GCA_964006505.1,ST131,O25:H4,B2,fumC40:fimH30,none,36,213
GCA_964206385.1,ST167,O101:H21,A,fumC11:fimH54,none,19,205
GCA_040418025.1,ST167,O101:H5,A,fumC11:Unknown,none,25,207
GCA_040416415.1,ST167,O101:H5,A,fumC11:Unknown,none,30,211
GCA_009824555.1,ST10,Unknown,A,fumC11:fimH54,none,14,182
GCA_040416975.1,ST167,O101:H9,A,fumC11:Unknown,none,30,218
GCA_037047825.1,ST131,O25:H4,B2,fumC40:fimH30,none,38,219
GCA_040417845.1,ST167,O101:H9,A,fumC11:Unknown,none,31,221
GCA_009824425.1,ST10,Unknown,A,fumC11:fimH54,none,13,182
GCA_964206405.1,ST131,O16:H5,B2,fumC40:fimH41,none,32,212
GCA_907163705.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,216
GCA_040416595.1,ST167,O101:H9,A,fumC11:Unknown,none,30,217
GCA_037048265.1,ST131,O25:H4,B2,fumC40:fimH30,none,31,201
GCA_964006315.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,229
GCA_040417455.1,ST167,O101:H9,A,fumC11:Unknown,none,29,221
GCA_964205785.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,233
GCA_040418385.1,ST167,O101:H5,A,fumC11:Unknown,none,28,209
GCA_964006325.1,ST131,O25:H4,B2,fumC40:fimH30,none,33,232
GCA_037049045.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,211
GCA_040417135.1,ST167,O101:H9,A,fumC11:Unknown,none,29,218
GCA_040417785.1,ST167,O101:H9,A,fumC11:Unknown,none,30,219
GCA_050113115.1,ST167,O101:H9,A,fumC11:Unknown,none,32,221
GCA_024700835.2,ST10,O101:H9,A,fumC11:fimH54,none,19,192
GCA_037048945.1,ST131,O16:H5,B2,fumC40:fimH41,EAEC,28,222
GCA_009793715.1,ST10,O29:H10,A,fumC11:fimH24,none,25,184
GCA_907164245.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,216
GCA_040417875.1,ST167,O101:H9,A,fumC11:Unknown,none,31,216
GCA_964205855.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,230
GCA_964206255.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,219
GCA_040415465.1,ST167,O101:H5,A,fumC11:Unknown,none,30,207
GCA_009825065.1,ST10,O9a:H9,A,fumC11:Unknown,none,38,188
GCA_018972245.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,37,231
GCA_009825265.1,ST10,O101:H10,A,fumC11:Unknown,DAEC,37,213
GCA_040417305.1,ST167,O101:H9,A,fumC11:Unknown,none,26,218
GCA_040416625.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_964206415.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,223
GCA_966556535.1,ST10,O12:H4,A,fumC11:fimH27,none,26,247
GCA_964006675.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,224
GCA_972176215.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,217
GCA_907163485.1,ST167,O101:H21,A,fumC11:fimH54,none,36,216
GCA_964007015.1,ST167,O101:H9,A,fumC11:Unknown,DAEC,27,246
GCA_009900625.1,ST10,O153:H21,A,fumC11:fimH24,none,7,207
GCA_037049305.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,212
GCA_025544715.1,ST10,Unknown,A,fumC11:fimH23,EAEC,14,165
GCA_037047365.1,ST10,O12:H4,A,fumC11:fimH27,none,29,247
GCA_009793215.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_907163365.1,ST167,O101:H9,A,fumC11:Unknown,none,33,207
GCA_040415875.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_040415915.1,ST167,O101:H5,A,fumC11:Unknown,none,26,212
GCA_040417925.1,ST167,O101:H9,A,fumC11:Unknown,none,29,216
GCA_050113075.1,ST167,O101:H5,A,fumC11:Unknown,none,30,214
GCA_037048405.1,ST131,O25:H4,B2,fumC40:fimH30,none,36,208
GCA_907163825.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,215
GCA_040416865.1,ST167,O101:H9,A,fumC11:Unknown,none,31,221
GCA_964006475.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,229
GCA_964206535.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,49,237
GCA_050955345.1,ST10,O101:H5,A,fumC11:Unknown,none,26,201
GCA_009824195.1,ST10,Unknown,A,fumC11:fimH54,none,13,182
GCA_009900585.1,ST10,O153:H21,A,fumC11:fimH24,none,7,207
GCA_037048485.1,ST131,O25:H4,B2,fumC40:fimH30,none,27,215
GCA_040415685.1,ST167,O101:H17,A,fumC11:Unknown,none,33,224
GCA_050113195.1,ST167,O101:H9,A,fumC11:Unknown,none,32,221
GCA_040418905.1,ST167,O101:H5,A,fumC11:Unknown,none,30,208
GCA_964006445.1,ST10,O29:H4,A,fumC11:fimH25,none,47,219
GCA_040416405.1,ST167,O101:H9,A,fumC11:Unknown,none,31,219
GCA_040415795.1,ST167,O101:H9,A,fumC11:Unknown,none,27,215
GCA_025544835.1,ST10,Unknown,A,fumC11:fimH23,EAEC,15,159
GCA_966573385.1,ST10,O27:H37,A,fumC11:fimH215,EAEC,18,226
GCA_040416775.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_964006855.1,ST131,O25:H4,B2,fumC40:fimH30,none,44,234
GCA_966652735.1,ST10,O9a:H9,A,fumC11:fimH54,none,7,186
GCA_009793645.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_040417985.1,ST167,O101:H9,A,fumC11:Unknown,none,31,216
GCA_022488345.1,ST10,O16:H48,A,fumC11:fimH27,none,5,157
GCA_050113155.1,ST167,O101:H9,A,fumC11:Unknown,none,32,221
GCA_040418105.1,ST167,O101:H17,A,fumC11:Unknown,none,33,221
GCA_040416005.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_968938235.1,ST10,O27:H37,A,fumC11:fimH215,none,26,220
GCA_964006105.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,231
GCA_964006435.1,ST10,O12:H4,A,fumC11:fimH27,none,33,247
GCA_907163915.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,39,227
GCA_907163995.1,ST10,O116:H38,A,fumC11:fimH32,none,27,208
GCA_040418845.1,ST167,O101:H9,A,fumC11:Unknown,none,29,219
GCA_040416615.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_052072695.1,ST167,O101:H5,A,fumC11:Unknown,none,29,212
GCA_050113175.1,ST167,O101:H9,A,fumC11:Unknown,none,32,221
GCA_037047645.1,ST131,O25:H4,B2,fumC40:fimH30,none,43,216
GCA_040417625.1,ST167,O101:H9,A,fumC11:Unknown,none,29,216
GCA_009793635.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_009825195.1,ST10,Unknown,A,fumC11:fimH54,none,13,182
GCA_040416815.1,ST167,O101:H9,A,fumC11:Unknown,none,24,216
GCA_964206565.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,231
GCA_040415665.1,ST167,O101:H9,A,fumC11:Unknown,none,30,219
GCA_964007395.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,49,233
GCA_040416505.1,ST167,O101:H5,A,fumC11:Unknown,none,30,210
GCA_009824335.1,ST10,Unknown,A,fumC11:fimH54,none,13,182
GCA_040417365.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_964206605.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,49,236
GCA_040417765.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_040418505.1,ST167,O101:H9,A,fumC11:Unknown,none,27,219
GCA_018972225.1,ST131,O25:H4,B2,fumC40:fimH22,none,33,234
GCA_964006915.1,ST131,O25:H4,B2,fumC40:fimH30,none,44,235
GCA_011763315.1,ST10,O68:H12,A,fumC11:fimH23,EAEC,15,184
GCA_040417945.1,ST167,O101:H9,A,fumC11:Unknown,none,27,215
GCA_964205365.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,230
GCA_964007215.1,ST131,O25:H4,B2,fumC40:fimH30,none,44,233
GCA_964205925.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,230
GCA_040416995.1,ST167,O101:H5,A,fumC11:Unknown,none,24,207
GCA_964006685.1,ST131,O16:H5,B2,fumC40:fimH41,none,31,224
GCA_040416105.1,ST167,O101:H9,A,fumC11:Unknown,none,27,220
GCA_040417335.1,ST167,O101:H5,A,fumC11:Unknown,none,30,213
GCA_964205495.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,230
GCA_907163735.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,39,227
GCA_964006865.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,234
GCA_009793665.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_052072855.1,ST167,O101:H5,A,fumC11:Unknown,none,24,210
GCA_037049765.1,ST131,O25:H4,B2,fumC40:fimH30,none,25,198
GCA_022488205.1,ST10,O16:H48,A,fumC11:fimH27,none,5,157
GCA_040416355.1,ST167,O101:H17,A,fumC11:Unknown,none,34,223
GCA_049379945.1,ST10,O38:H26,A,fumC11:fimH24,STEC,24,229
GCA_011317875.1,ST10,O9a:H9,A,fumC11:fimH54,none,20,200
GCA_040416705.1,ST167,O101:H9,A,fumC11:Unknown,none,26,215
GCA_964007255.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,233
GCA_040418805.1,ST167,O101:H9,A,fumC11:Unknown,none,30,218
GCA_964205675.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,223
GCA_040417035.1,ST167,O101:H9,A,fumC11:Unknown,none,31,219
GCA_009798605.1,ST10,O128ac:H12,A,fumC11:fimH54,EAEC,20,165
GCA_040418625.1,ST167,O101:H9,A,fumC11:Unknown,none,29,216
GCA_040416215.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_040418565.1,ST167,O101:H9,A,fumC11:Unknown,none,27,218
GCA_040418205.1,ST167,O101:H5,A,fumC11:Unknown,none,26,208
GCA_964206375.1,ST131,O16:H5,B2,fumC40:fimH41,DAEC,38,224
GCA_964205715.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,232
GCA_009824215.1,ST10,O154:H4,A,fumC11:fimH54,none,6,161
GCA_964206105.1,ST167,O101:H17,A,fumC11:Unknown,none,35,220
GCA_037047805.1,ST167,O101:H10,A,fumC11:Unknown,none,38,196
GCA_964206265.1,ST167,O101:H10,A,fumC11:fimH54,none,34,232
GCA_037049325.1,ST167,O101:H21,A,fumC11:fimH54,none,27,206
GCA_040415565.1,ST167,O101:H5,A,fumC11:Unknown,none,27,212
GCA_040419205.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_037049145.1,ST131,O25:H4,B2,fumC40:fimH30,none,31,200
GCA_040418485.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_000713235.1,ST10,O128ac:H10,A,fumC11:fimH54,none,22,196
GCA_040418325.1,ST167,O101:H9,A,fumC11:Unknown,none,30,218
GCA_040416295.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_040417095.1,ST167,O101:H5,A,fumC11:Unknown,none,21,208
GCA_040418265.1,ST167,O101:H9,A,fumC11:Unknown,none,30,219
GCA_966502205.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,214
GCA_964007225.1,ST131,O16:H5,B2,fumC40:fimH41,none,34,213
GCA_040417685.1,ST167,O101:H9,A,fumC11:Unknown,none,30,220
GCA_050113055.1,ST167,O101:H9,A,fumC11:Unknown,none,32,221
GCA_966518725.1,ST10,O27:H37,A,fumC11:fimH215,EAEC,18,226
GCA_040416695.1,ST167,O101:H5,A,fumC11:Unknown,none,30,211
GCA_907163515.1,ST131,O25:H4,B2,fumC40:fimH30,none,36,212
GCA_009823945.1,ST10,O50:H19,A,fumC11:fimH25,none,5,181
GCA_018972205.1,ST131,O25:H4,B2,fumC40:fimH22,none,25,234
GCA_037047525.1,ST131,O25:H4,B2,fumC40:fimH30,none,32,212
GCA_040713795.1,ST10,Unknown,A,fumC11:fimH54,EAEC,37,150
GCA_040419025.1,ST167,O101:H17,A,fumC11:Unknown,none,34,221
GCA_040419005.1,ST167,O101:H9,A,fumC11:Unknown,none,30,221
GCA_964205425.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,231
GCA_964006295.1,ST131,O25:H4,B2,fumC40:fimH30,none,46,208
GCA_040416495.1,ST167,O101:H9,A,fumC11:Unknown,none,30,221
GCA_037048425.1,ST131,O25:H4,B2,fumC40:fimH30,none,27,213
GCA_037049065.1,ST131,O25:H4,B2,fumC40:fimH30,none,40,207
GCA_966572575.1,ST10,O12:H4,A,fumC11:fimH27,none,20,247
GCA_964006965.1,ST131,O25:H4,B2,fumC40:fimH30,none,31,226
GCA_040417585.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_011763275.1,ST10,O81:H27,A,fumC11:fimH23,EAEC,11,180
GCA_040507325.1,ST167,O101:H5,A,fumC11:Unknown,none,30,211
GCA_966564195.1,ST10,O29:H4,A,fumC11:fimH25,none,18,205
GCA_040418915.1,ST167,O101:H9,A,fumC11:Unknown,none,30,219
GCA_037047485.1,ST131,O16:H5,B2,fumC40:fimH41,EAEC,28,223
GCA_964205655.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,47,229
GCA_024331345.2,ST10,O92:H11,A,fumC11:fimH54,none,24,176
GCA_037047345.1,ST131,O25:H4,B2,fumC40:fimH30,none,31,201
GCA_040417645.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_040416395.1,ST167,O101:H9,A,fumC11:Unknown,none,26,213
GCA_907163765.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,215
