Kaptive version	Database name	Database version	Assembly	ST	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details	ST
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009794485.1	ST10	KL145		Untypeable	-	98.72%	0.49%	-16690	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	1	KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,partial	KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,partial		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009795575.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009795595.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009795645.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009798605.1	ST10	KL145		Untypeable	-	98.46%	0.49%	-16690	1 / 14 (7.14%)	KL145_11_DB_group_98,96.15%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,96.15%,92.86%,partial;KL145_11_DB_group_98,96.15%,92.86%;KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,100.00%,92.86%	2	KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,partial;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,96.15%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,96.15%,6.13%,truncated	KL145_11_DB_group_98,96.15%,92.86%,partial;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,partial;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,96.15%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,96.15%,6.13%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009823885.1	ST10	KL152		Untypeable	-*	0.00%	3.90%	-24524	1 / 19 (5.26%)	KL152_14_rmlB_2,76.63%,91.44%,below_id_threshold	KL152_01_kpsD_5;KL152_02_kpsM_8;KL152_03_kpsT_7;KL152_04_kpsE_2;KL152_05_DB_group_206;KL152_06_DB_group_207;KL152_07_DB_group_214;KL152_08_DB_group_188;KL152_09_ugd_2;KL152_10_DB_group_194;KL152_11_K96-09;KL152_12_wckE;KL152_13_DB_group_184;KL152_15_rmlD_2;KL152_16_rmlA_2;KL152_17_rmlC_2;KL152_18_kpsC_5;KL152_19_kpsS_5	0		0 / 19 (0.00%)		2	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL147_13_rmlB,100.00%,8.16%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL147_13_rmlB,100.00%,8.16%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009823945.1	ST10	KL152		Untypeable	-*	0.00%	3.90%	-24524	1 / 19 (5.26%)	KL152_14_rmlB_2,76.63%,91.44%,below_id_threshold	KL152_01_kpsD_5;KL152_02_kpsM_8;KL152_03_kpsT_7;KL152_04_kpsE_2;KL152_05_DB_group_206;KL152_06_DB_group_207;KL152_07_DB_group_214;KL152_08_DB_group_188;KL152_09_ugd_2;KL152_10_DB_group_194;KL152_11_K96-09;KL152_12_wckE;KL152_13_DB_group_184;KL152_15_rmlD_2;KL152_16_rmlA_2;KL152_17_rmlC_2;KL152_18_kpsC_5;KL152_19_kpsS_5	0		0 / 19 (0.00%)		2	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,96.15%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.36%,partial;KL128_09_DB_group_51,100.00%,3.36%,partial;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,96.15%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.36%,partial;KL128_09_DB_group_51,100.00%,3.36%,partial;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009824195.1	ST10	KL157		Untypeable	-	97.01%	0.42%	-19127	1 / 14 (7.14%)	KL157_08_DB_group_38,100.00%,96.30%	KL157_01_kpsF;KL157_02_kpsE;KL157_03_kpsD;KL157_04_kpsU;KL157_05_kpsC;KL157_06_kpsS;KL157_07_DB_group_44;KL157_09_DB_group_75;KL157_10_kpsT;KL157_11_DB_group_2;KL157_12_DB_group_101;KL157_13_kpsM	0		1 / 14 (7.14%)	KL157_08_DB_group_38,100.00%,96.30%;KL157_08_DB_group_38,100.00%,92.59%;KL157_08_DB_group_38,100.00%,92.59%,partial	2	KL186_09_DB_group_269,100.00%,24.39%,truncated;KL184_16_rmlA_2,88.06%,92.10%	KL157_08_DB_group_38,100.00%,92.59%,partial;KL186_09_DB_group_269,100.00%,24.39%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009824205.1	ST10	KL145		Untypeable	-	96.57%	0.49%	-16689	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,96.15%,92.86%;KL145_11_DB_group_98,96.15%,92.86%;KL145_11_DB_group_98,96.15%,92.86%;KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,100.00%,92.86%	3	KL186_09_DB_group_269,100.00%,24.39%,truncated;KL186_09_DB_group_269,100.00%,24.39%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated;KL162_13_rmlA_2,87.50%,98.97%	KL186_09_DB_group_269,100.00%,24.39%,truncated;KL186_09_DB_group_269,100.00%,24.39%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009824215.1	ST10	KL152		Untypeable	-*	0.00%	3.90%	-24524	1 / 19 (5.26%)	KL152_14_rmlB_2,76.63%,91.44%,below_id_threshold	KL152_01_kpsD_5;KL152_02_kpsM_8;KL152_03_kpsT_7;KL152_04_kpsE_2;KL152_05_DB_group_206;KL152_06_DB_group_207;KL152_07_DB_group_214;KL152_08_DB_group_188;KL152_09_ugd_2;KL152_10_DB_group_194;KL152_11_K96-09;KL152_12_wckE;KL152_13_DB_group_184;KL152_15_rmlD_2;KL152_16_rmlA_2;KL152_17_rmlC_2;KL152_18_kpsC_5;KL152_19_kpsS_5	0		0 / 19 (0.00%)		2	KL128_09_DB_group_51,96.15%,3.64%,truncated;KL147_13_rmlB,96.30%,7.11%,truncated;KL147_13_rmlB,96.30%,7.11%,truncated;KL147_13_rmlB,96.30%,7.11%,partial;KL147_13_rmlB,96.30%,7.11%,truncated;KL147_13_rmlB,96.30%,7.11%,truncated;KL147_13_rmlB,96.30%,7.11%,truncated	KL128_09_DB_group_51,96.15%,3.64%,truncated;KL147_13_rmlB,96.30%,7.11%,truncated;KL147_13_rmlB,96.30%,7.11%,truncated;KL147_13_rmlB,96.30%,7.11%,partial;KL147_13_rmlB,96.30%,7.11%,truncated;KL147_13_rmlB,96.30%,7.11%,truncated;KL147_13_rmlB,96.30%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009824295.1	ST10	KL145		Untypeable	-	100.00%	0.49%	-16690	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,100.00%,92.86%	1	KL173_12_DB_group_98_wckE_2,100.00%,6.13%,partial	KL173_12_DB_group_98_wckE_2,100.00%,6.13%,partial		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009824335.1	ST10	KL157		Untypeable	-	96.02%	0.42%	-19127	1 / 14 (7.14%)	KL157_08_DB_group_38,100.00%,96.30%	KL157_01_kpsF;KL157_02_kpsE;KL157_03_kpsD;KL157_04_kpsU;KL157_05_kpsC;KL157_06_kpsS;KL157_07_DB_group_44;KL157_09_DB_group_75;KL157_10_kpsT;KL157_11_DB_group_2;KL157_12_DB_group_101;KL157_13_kpsM	0		1 / 14 (7.14%)	KL157_08_DB_group_38,100.00%,92.59%,partial;KL157_08_DB_group_38,100.00%,92.59%	2	KL186_09_DB_group_269,100.00%,24.39%,truncated;KL184_16_rmlA_2,88.06%,92.10%	KL157_08_DB_group_38,100.00%,92.59%,partial;KL186_09_DB_group_269,100.00%,24.39%,truncated		ST10
