Assembly	BioProject	Country	MLST	Serotype	O_Type	H_Type	CH_Type	Phylogroup	N50	GC_Content	Total_Length
GCA_040713795.1	PRJNA828150	Jordan	ST10	Unknown	ND	ND	fumC11:fimH54	A	99992	50.46	5161348
GCA_040713755.1	PRJNA828150	Jordan	ST10	O132:H21	O132	H21	fumC11:fimH54	A	106922	50.38	5308062
GCA_040713295.1	PRJNA828150	Jordan	ST10	O51:H40	O51	H40	fumC11:fimH24	A	119748	50.39	5492320
GCA_040712505.1	PRJNA828150	Jordan	ST10	O101:H10	O101	H10	fumC11:fimH54	A	119519	50.58	5189579
GCA_040712465.1	PRJNA828150	Jordan	ST10	O101:H10	O101	H10	fumC11:fimH54	A	122488	50.59	5111903
GCA_040712435.1	PRJNA828150	Jordan	ST10	Unknown	ND	ND	fumC11:fimH54	A	120937	50.6	5128423
GCA_040712345.1	PRJNA828150	Jordan	ST10	Unknown	ND	ND	fumC11:fimH54	A	119519	50.63	5164455
GCA_040712355.1	PRJNA828150	Jordan	ST10	O101:H10	O101	H10	fumC11:fimH54	A	120938	50.59	5023931
GCA_037047175.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	123599	50.73	5123945
GCA_037049825.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	213911	50.68	5329880
GCA_037049765.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	123597	50.68	5018786
GCA_037046935.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	130866	50.77	5250905
GCA_037049305.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	99499	50.63	5370277
GCA_037049145.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	110620	50.72	5105196
GCA_037049065.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	111125	50.72	5243916
GCA_037049045.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	110753	50.63	5368490
GCA_037048945.1	PRJNA1076681	Jordan	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	118913	50.5	5259652
GCA_037048485.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	117678	50.69	5145754
GCA_037048425.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	128387	50.69	5154194
GCA_037048405.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	97499	50.76	5096937
GCA_037048265.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	123594	50.71	5106782
GCA_037048185.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	103649	50.62	5262842
GCA_037048105.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	142556	50.63	5293638
GCA_037047925.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	117473	50.73	5159952
GCA_037047825.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	110982	50.76	5152953
GCA_037047685.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	112923	50.74	5241275
GCA_037047645.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	122649	50.55	5344393
GCA_037047605.1	PRJNA1076681	Jordan	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	114170	50.77	4924057
GCA_037047525.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	114982	50.72	5192561
GCA_037047485.1	PRJNA1076681	Jordan	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	130639	50.49	5257382
GCA_037047345.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	112353	50.71	5106604
GCA_037047245.1	PRJNA1076681	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	107471	50.76	5284994
GCA_040716695.1	PRJNA828150	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH22	B2	248065	50.38	5559193
GCA_040713425.1	PRJNA828150	Jordan	ST131	O25:H4	O25	H4	fumC40:fimH22	B2	365153	50.52	5222927
GCA_037047235.1	PRJNA828150	Jordan	ST131	O16:H5	O17	H5	fumC40:fimH41	B2	103614	50.5	5201573
GCA_037049385.1	PRJNA1076681	Jordan	ST167	O101:H21	O101	H21	fumC11:fimH54	A	82497	50.79	4834879
GCA_037049365.1	PRJNA1076681	Jordan	ST167	O8:H9	O8	H9	fumC11:fimH5	A	75086	50.73	4931766
GCA_037049325.1	PRJNA1076681	Jordan	ST167	O101:H21	O101	H21	fumC11:fimH54	A	70083	50.81	4878542
GCA_037047805.1	PRJNA1076681	Jordan	ST167	O101:H10	O101	H10	fumC11:Unknown	A	73229	50.69	4879953
GCA_040712335.1	PRJNA828150	Jordan	ST167	O101:H9	O101	H9	fumC11:fimH31	A	119517	50.69	5137068
GCA_050955345.1	PRJNA1192017	kenya	ST10	O101:H5	O101	H5	fumC11:Unknown	A	106886	50.56	4916907
GCA_045801095.1	PRJNA1192017	kenya	ST167	Unknown	ND	ND	fumC11:Unknown	A	137035	50.8	4934362
GCA_053164725.1	PRJNA1121524	Malawi	ST10	Unknown	ND	ND	fumC11:fimH54	A	4985772	50.83	5142182
GCA_024331345.2	PRJNA856486	Mali	ST10	O92:H11	O92	H11	fumC11:fimH54	A	4930547	50.79	5024058
GCA_024700835.2	PRJNA856486	Mali	ST10	O101:H9	O101	H9	fumC11:fimH54	A	4603416	50.71	4628945
GCA_024330145.2	PRJNA856486	Mali	ST10	O166:H10	O166	H10	fumC11:fimH54	A	4689650	50.97	4780349
GCA_966516095.1	PRJEB73590	Mozambique	ST10	O107:H27	O107	H27	fumC11:fimH23	A	147725	50.79	4747246
GCA_966652735.1	PRJEB73590	Mozambique	ST10	O9a:H9	O9a	H9	fumC11:fimH54	A	148156	50.6	4760149
GCA_966502205.1	PRJEB73590	Mozambique	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	217772	50.75	5064064
GCA_050113195.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	4909618	50.64	5193595
GCA_050113175.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	4682528	50.57	5292591
GCA_050113155.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	4908279	50.64	5181058
GCA_050113135.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	4835724	50.71	5175508
GCA_050113115.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	4908281	50.64	5179137
GCA_050113075.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	4891485	50.74	5133047
GCA_050113055.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	4905741	50.65	5217691
GCA_050113015.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	4891497	50.7	5170585
GCA_050112975.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	4910838	50.62	5174040
GCA_050112935.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	934963	50.72	5155252
GCA_050112895.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	4910842	50.62	5212812
GCA_049546825.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	4891645	50.79	5051904
GCA_040507365.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	70607	50.65	5052775
GCA_040507325.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	72174	50.71	5041256
GCA_040416705.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	43671	50.72	4991288
GCA_040415955.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	61158	50.65	5052230
GCA_040415975.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	119229	50.67	5043166
GCA_040415915.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	83699	50.72	4977366
GCA_040417825.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	83692	50.63	5063471
GCA_040417765.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	141400	50.73	4963188
GCA_040417785.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	49922	50.69	5037755
GCA_040417745.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	80167	50.73	5023298
GCA_040417925.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	40460	50.74	5022439
GCA_040417905.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	42060	50.69	5040267
GCA_040417875.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	54201	50.64	5090477
GCA_040417845.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	65440	50.66	5047132
GCA_040417865.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	61357	50.73	5030618
GCA_040415905.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	94295	50.69	5050005
GCA_040415875.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	82002	50.7	5033423
GCA_040415855.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	91118	50.62	5047172
GCA_040415815.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	63693	50.78	4946469
GCA_040415805.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	138816	50.68	5051775
GCA_040415795.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	56402	50.66	5034938
GCA_040415755.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	135304	50.74	4955139
GCA_040415685.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	107457	50.67	5051624
GCA_040415675.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	50367	50.76	5004818
GCA_040415665.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	51730	50.66	5051479
GCA_040415655.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	89003	50.72	4988242
GCA_040415585.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	63630	50.64	5046793
GCA_040415565.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	87145	50.72	5014607
GCA_040415575.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	46480	50.85	4916610
GCA_040415535.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	83572	50.63	5062805
GCA_040415475.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	99994	50.71	5005678
GCA_040415455.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	73574	50.72	5021719
GCA_040415445.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	42170	50.73	5027788
GCA_040415465.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	44256	50.8	5086485
GCA_040415435.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	83692	50.63	5054051
GCA_040418025.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	59277	50.82	4887106
GCA_040417985.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	45239	50.7	5035631
GCA_040417945.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	45239	50.72	5033732
GCA_040417965.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	63801	50.65	5056554
GCA_040419185.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	56826	50.66	5044587
GCA_040419205.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	94329	50.7	5043279
GCA_040419165.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	52227	50.66	5052679
GCA_040419125.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	56826	50.52	5091633
GCA_040419145.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	81719	50.75	4951157
GCA_040419105.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	95504	50.71	5028461
GCA_040419065.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	69299	50.75	5031679
GCA_040419085.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	79414	50.64	5057945
GCA_040419045.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	110334	50.69	5045184
GCA_040419025.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	90857	50.72	5042928
GCA_040419005.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	66474	50.64	5050944
GCA_040418985.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	61158	50.59	5147962
GCA_040418945.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	49922	50.67	5045485
GCA_040418965.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	84699	50.63	5057965
GCA_040418915.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	69330	50.63	5057235
GCA_040418905.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	78205	50.71	5037329
GCA_040418885.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	51269	50.69	5038268
GCA_040418845.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	44755	50.67	5051442
GCA_040418825.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	56487	50.59	5065820
GCA_040418805.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	58994	50.67	5043804
GCA_040418755.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	48757	50.71	5023856
GCA_040418745.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	65440	50.64	5060439
GCA_040418725.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	55497	50.67	5051434
GCA_040418705.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	97759	50.7	5047265
GCA_040418685.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	81857	50.64	5051992
GCA_040418645.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	71806	50.64	5058706
GCA_040418625.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	39220	50.72	4995062
GCA_040418605.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	58240	50.66	5059175
GCA_040418585.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	118802	50.73	4936712
GCA_040418565.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	61556	50.67	5024845
GCA_040418545.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	61159	50.63	5073393
GCA_040418525.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	97485	50.74	4980378
GCA_040418505.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	51762	50.67	5032414
GCA_040418485.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	89012	50.69	5045061
GCA_040418405.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	58997	50.65	4960376
GCA_040418385.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	61447	50.74	5028769
GCA_040418325.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	83692	50.63	5054565
GCA_040418305.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	102505	50.62	5049913
GCA_040418265.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	88705	50.63	5053012
GCA_040418245.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	141400	50.69	5052242
GCA_040418225.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	110339	50.74	4950668
GCA_040418205.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	67320	50.74	5004521
GCA_040418125.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	42337	50.72	5032750
GCA_040418145.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	55402	50.67	5050120
GCA_040418105.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	58101	50.73	5032918
GCA_040417725.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	70209	50.7	5049567
GCA_040417685.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	91118	50.63	5061303
GCA_040417645.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	46646	50.75	5024345
GCA_040417665.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	69296	50.77	4959165
GCA_040417625.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	49124	50.72	5034940
GCA_040417585.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	64229	50.48	5222949
GCA_040417525.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	72914	50.64	5044569
GCA_040417485.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	69753	50.79	4924580
GCA_040417455.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	53549	50.63	5087683
GCA_040417445.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	46438	50.68	5026580
GCA_040417405.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	69015	50.77	5020378
GCA_040417385.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	93410	50.67	5058666
GCA_040417365.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	133332	50.69	5043952
GCA_040417335.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	106566	50.7	5044499
GCA_040417305.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	55856	50.66	5039814
GCA_040417235.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	52113	50.82	4935387
GCA_040417215.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	134513	50.72	4987759
GCA_040417195.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	94087	50.74	4980357
GCA_040417175.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	99994	50.71	5027196
GCA_040417135.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	67488	50.67	5050053
GCA_040417095.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	66646	50.8	4939295
GCA_040417055.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	40217	50.77	5078209
GCA_040417035.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	81138	50.66	5060940
GCA_040417015.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	52239	50.81	4951263
GCA_040416995.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	55949	50.8	4962681
GCA_040416975.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	68092	50.68	5042180
GCA_040416955.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	147693	50.69	5052450
GCA_040416915.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	76185	50.74	5004577
GCA_040416885.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	58996	50.62	5032944
GCA_040416865.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	83573	50.63	5060737
GCA_040416845.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	69294	50.49	5596348
GCA_040416815.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	43671	50.68	4867994
GCA_040416795.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	52239	50.8	4886223
GCA_040416775.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	106008	50.69	5048645
GCA_040416695.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	87179	50.69	5050882
GCA_040416625.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	83692	50.63	5059118
GCA_040416635.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	88711	50.63	5064339
GCA_040416615.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	70607	50.63	5064267
GCA_040416595.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	52304	50.69	5048439
GCA_040416565.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	83692	50.64	5062208
